nom_parking;statut;places_max;places_libres;id;Geo;Tarif 15';Tarif 30';Tarif 1h;Tarif 1h30;Tarif 2h;Tarif 3h;Tarif 4h;Horaires;Tarif Nuit 15';Tarif Nuit 30';Tarif Nuit 1h;Tarif Nuit 1h30;Tarif Nuit 2h;Tarif Nuit 3h;Tarif Nuit 4h
Colombier;OUVERT;580;190;1503;48.10476254246226, -1.6786245223418863;0.60;1.20;2.40;3.40;4.40;6.40;8.40;Lundi : Ouvert 24h/24h / Mardi : Ouvert 24h/24h / Mercredi : Ouvert 24h/24h / Jeudi : Ouvert 24h/24h / Vendredi : Ouvert 24h/24h / Samedi : Ouvert 24h/24h / Dimanche : Ouvert 24h/24h;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Gare-Sud;OUVERT;990;220;4765;48.10217565565667, -1.6727864239904116;0.70;1.40;2.80;4.20;5.60;8.00;10.40;;0.4;0.8;1.6;2.4;3.2;4.8;6.4
Chezy-Dinan;OUVERT;401;115;2;48.11366158304597, -1.686105588634842;0.60;1.20;2.40;3.40;4.40;6.40;8.40;Lundi : 07:00-21:00 / Mardi : 07:00-21:00 / Mercredi : 07:00-21:00 / Dimanche : Fermé;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Vilaine;OUVERT;221;134;4689;48.110058117749645, -1.6816363461281012;0.70;1.40;2,8;4,2;5,6;8,4;11,2;Lundi : Ouvert 24h/24h / Mardi : Ouvert 24h/24h / Mercredi : Ouvert 24h/24h / Jeudi : Ouvert 24h/24h / Vendredi : Ouvert 24h/24h / Samedi : Ouvert 24h/24h / Dimanche : Ouvert 24h/24h;0.4;0.8;1.6;2.4;3.2;4.8;6.4
Hoche;OUVERT;764;428;4915;48.1152366677876, -1.6770490451168616;0.60;1.20;2.40;3.40;4.40;6.40;8.40;Lundi : 06:00-22:00 / Dimanche : Fermé;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Kennedy;OUVERT;193;169;598;48.12082976009738, -1.7097687721215509;0.00;0;0,7;1,4;1,7;2,3;2,9;Lundi : 05:45-20:30 / Mardi : 05:45-20:30 / Mercredi : 05:45-20:30 / Jeudi : 05:45-20:30 / Vendredi : 05:45-20:30 / Samedi : 05:45-20:30 / Dimanche : Fermé;;;;;;;
Lices;OUVERT;424;207;5066;48.112673686342674, -1.683072154573685;0.60;1.20;2.40;3.40;4.40;6.40;8.40;Dimanche :  09:00-21:00;0.3;0.6;1.2;1.8;2.4;3.6;4.8
De Gaulle-Gare;OUVERT;756;437;597;48.10623520518354, -1.676050017133773;0.60;1.20;2.40;3.40;4.40;6.40;8.40;;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Hotel Dieu;OUVERT;285;251;6925;48.11808445473859, -1.6804719095649794;0.60;1.20;2.40;3.40;4.40;6.40;8.40;Dimanche : Fermé;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Kleber;OUVERT;373;183;5011;48.11078384526577, -1.673617959020907;0,6;1,2;2,4;3,4;4,4;6,4;8,4;Lundi : 07:00-20:30 / Mardi : 07:00-20:30 / Mercredi : 07:00-20:30 / Jeudi : 07:00-20:30 / Vendredi : 07:00-20:30 / Samedi : 07:00-20:30 / Dimanche : Fermé;0.3;0.6;1.2;1.8;2.4;3.6;4.8
Arsenal;OUVERT;599;321;74;48.10509175413414, -1.6861234986967464;0.30;0.60;1.20;1.80;2.40;3.60;4.80;Lundi : 06:30-22:30 / Mardi : 06:30-22:30 / Mercredi : 06:30-22:30 / Jeudi : 06:30-22:30 / Vendredi : 06:30-22:30 / Samedi : 06:30-22:30 / Dimanche : Fermé;0.2;0.4;0.8;1.2;1.6;2.4;3.2
